Name,Country,Coordinates,City,District,Distance,Schedule
Carta de Foral de Oliveira do Bairro,Portugal,"[-8.495672399999998, 40.51281140033429]",Oliveira do Bairro,Oliveira do Bairro,1469,
Bordalo II - Cegonha,Portugal,"[-8.491445299999999, 40.51308820033433]",Oliveira do Bairro,Oliveira do Bairro,1624,
Baloiço dos Pinheiros Mansos,Portugal,"[-8.482139000000002, 40.50900000033383]",Oliveira do Bairro,Oliveira do Bairro,1814,
Lagoa do Paúl,Portugal,"[-8.5019442, 40.47532080032959]",Anadia,"Amoreira da Gândara, Paredes do Bairro e Ancas",2745,24/7
