Name,Country,Coordinates,City,District,Distance,Schedule
Hotel Paraíso,Portugal,"[-8.4926455, 40.514966300334564]",Oliveira do Bairro,Oliveira do Bairro,1775,
Estalagem de Sangalhos,Portugal,"[-8.459659533064459, 40.47735924925151]",Anadia,,4208,
